 Experiment number: ,,#209
 Experiment date: ,,November-22-2022
 Animal Strain: ,,
 Animal Birthdate: ,,November-22-2022
 Color of Animal: ,,White
 Size of Animal: ,,Regular
Analysis Length:,,"0"""
Analysis Start@:,,"0"""
Dstance Traveled:,,    455.14(meters)

Behavior Profile-Behavior List
From Frame,To Frame,Length(frames),Behavior,Comment,
248670,249149,479,Groom,PLF<-HdW,Floor(Night),
249149,249162,13,Remain Low,Floor(Night),
249162,249177,15,Unknown Behavior,Floor(Night),
249177,249303,126,Remain Low,Floor(Night),
249303,249309,6,Turn,Floor(Night),
249309,249315,6,Turn,Floor(Night),
249315,249321,6,Turn,Floor(Night),
249321,249327,6,Turn,Floor(Night),
249327,249333,6,Turn,Floor(Night),
249333,249387,54,Remain Low,Floor(Night),
249387,249393,6,Turn,Floor(Night),
249393,249399,6,Turn,Floor(Night),
249399,249447,48,Remain Low,Floor(Night),
249447,249453,6,Turn,Floor(Night),
249453,249477,24,Remain Low,Floor(Night),
249477,249483,6,Turn,Floor(Night),
249483,249495,12,Remain Low,Floor(Night),
249495,249501,6,Turn,face-front/back,Floor(Night),
249501,249507,6,Turn,Floor(Night),
249507,249513,6,Remain Low,Floor(Night),
249513,249519,6,Turn,face-front/back,Floor(Night),
249519,249525,6,Remain Low,Floor(Night),
249525,249531,6,Turn,Floor(Night),
249531,249579,48,Remain Low,Floor(Night),
249579,249585,6,Turn,face-front/back,Floor(Night),
249585,249633,48,Remain Low,Floor(Night),
249633,249639,6,Turn,Floor(Night),
249639,249669,30,Remain Low,Floor(Night),
249669,249675,6,Turn,face-front/back,Floor(Night),
249675,249711,36,Remain Low,Floor(Night),
249711,249717,6,Turn,Floor(Night),
249717,249765,48,Remain Low,Floor(Night),
249765,249771,6,Turn,face-front/back,Floor(Night),
249771,249885,114,Remain Low,Floor(Night),
249885,249891,6,Turn,Floor(Night),
249891,249920,29,Remain Low,Floor(Night),
249920,250089,169,Pause,(Night),
250089,250095,6,Turn,face-front/back,Floor(Night),
250095,250161,66,Remain Low,Floor(Night),
250161,250167,6,Turn,Floor(Night),
250167,250179,12,Remain Low,Floor(Night),
250179,250185,6,Turn,face-front/back,Floor(Night),
250185,250203,18,Remain Low,Floor(Night),
250203,250209,6,Turn,Floor(Night),
250209,250215,6,Remain Low,Floor(Night),
250215,250221,6,Turn,face-front/back,Floor(Night),
250221,250245,24,Remain Low,Floor(Night),
250245,250251,6,Turn,face-front/back,Floor(Night),
250251,250257,6,Turn,Floor(Night),
250257,250263,6,Remain Low,Floor(Night),
250263,250269,6,Turn,face-front/back,Floor(Night),
250269,250323,54,Remain Low,Floor(Night),
250323,250329,6,Turn,Floor(Night),
250329,250365,36,Remain Low,Floor(Night),
250365,250371,6,Turn,face-front/back,Floor(Night),
250371,250389,18,Remain Low,Floor(Night),
250389,250395,6,Turn,Floor(Night),
250395,250401,6,Turn,face-front/back,Floor(Night),
250401,250431,30,Remain Low,Floor(Night),
250431,250437,6,Turn,face-front/back,Floor(Night),
250437,250467,30,Remain Low,Floor(Night),
250467,250473,6,Turn,Floor(Night),
250473,250491,18,Remain Low,Floor(Night),
250491,250497,6,Turn,face-front/back,Floor(Night),
250497,250509,12,Remain Low,Floor(Night),
250509,250515,6,Turn,Floor(Night),
250515,250575,60,Remain Low,Floor(Night),
250575,250584,9,Turn,face-front/back,Floor(Night),
250584,250608,24,Remain Low,Floor(Night),
250608,250614,6,Turn,Floor(Night),
250614,250698,84,Remain Low,Floor(Night),
250698,250704,6,Turn,face-front/back,Floor(Night),
250704,250776,72,Remain Low,Floor(Night),
250776,250782,6,Turn,Floor(Night),
250782,250788,6,Remain Low,Floor(Night),
250788,250794,6,Turn,Floor(Night),
250794,250812,18,Remain Low,Floor(Night),
250812,250818,6,Turn,face-front/back,Floor(Night),
