 Experiment number: ,,#210
 Experiment date: ,,November-22-2022
 Animal Strain: ,,
 Animal Birthdate: ,,November-22-2022
 Color of Animal: ,,White
 Size of Animal: ,,Regular
Analysis Length:,,"0"""
Analysis Start@:,,"0"""
Dstance Traveled:,,    549.25(meters)

Behavior Profile-Behavior List
From Frame,To Frame,Length(frames),Behavior,Comment,
269919,269925,6,Turn,face-front/back,RightWall(Night),
269925,270093,168,Remain Low,Floor(Night),
270093,270099,6,Turn,Floor(Night),
270099,270333,234,Remain Low,Floor(Night),
270333,270345,12,Stationary,Floor(Night),
270345,270357,12,Remain Low,Floor(Night),
270357,270363,6,Turn,Floor(Night),
270363,270381,18,Remain Low,Floor(Night),
270381,270387,6,Turn,face-front/back,Floor(Night),
270387,270393,6,Rear up Partially,Floor(Night),
270393,270399,6,Come Down From Partially Reared,Floor(Night),
270399,270435,36,Remain Low,Floor(Night),
270435,270441,6,Turn,face-front/back,Floor(Night),
270441,270501,60,Remain Low,Floor(Night),
270501,270507,6,Rear up Partially,Floor(Night),
270507,270513,6,Come Down From Partially Reared,Floor(Night),
270513,270603,90,Remain Low,LeftWall(Night),
270603,270621,18,Unknown Behavior,LeftWall(Night),
270621,270681,60,Remain Low,LeftWall(Night),
270681,270687,6,Turn,face-front/back,LeftWall(Night),
270687,270788,101,Remain Low,LeftWall(Night),
270788,271772,984,Sleep,LeftWall(Night),
271772,271878,106,Twitch,LeftWall(Night),
271878,272150,272,Sleep,LeftWall(Night),
272150,272222,72,Twitch,LeftWall(Night),
272222,273150,928,Sleep,LeftWall(Night),
273150,273162,12,Twitch,Night,
273162,273716,554,Sleep,LeftWall(Night),
273716,273730,14,Twitch,LeftWall(Night),
273730,276212,2482,Sleep,LeftWall(Night),
276212,276291,79,Twitch,LeftWall(Night),
276291,277380,1089,Sleep,LeftWall(Night),
277380,277397,17,Twitch,LeftWall(Night),
277397,277552,155,Sleep,LeftWall(Night),
277552,277576,24,Twitch,LeftWall(Night),
277576,278899,1323,Sleep,LeftWall(Night),
278899,278986,87,Twitch,LeftWall(Night),
278986,280679,1693,Sleep,LeftWall(Night),
280679,280719,40,Twitch,Night,
280719,281139,420,Sleep,LeftWall(Night),
281139,281144,5,Awaken,LeftWall(Night),
281144,281150,6,Walk Right,Night,
281150,281218,68,No Data,,
281218,281282,64,No Data,,
281282,368102,86820,No Data,,
368102,368126,24,"(null)(RearUp, RemainRU)",LeftWall(Night),
368126,368198,72,No Data,,
368198,370083,1885,Sleep,LeftWall(Night),
370083,370168,85,Twitch,LeftWall(Night),
370168,376191,6023,Sleep,LeftWall(Night),
376191,376310,119,Twitch,LeftWall(Night),
376310,376424,114,Sleep,LeftWall(Night),
376424,376724,300,Twitch,LeftWall(Night),
376724,376725,1,Awaken,LeftWall(Night),
376725,376906,181,Remain Low,LeftWall(Night),
376906,376912,6,Turn,LeftWall(Night),
376912,376918,6,Turn,face-front/back,LeftWall(Night),
376918,377152,234,Remain Low,LeftWall(Night),
377152,377158,6,Turn,LeftWall(Night),
377158,377176,18,Remain Low,LeftWall(Night),
377176,377182,6,Turn,face-front/back,LeftWall(Night),
377182,377369,187,Remain Low,LeftWall(Night),
377432,377857,425,Groom,B_L,LeftWall(Night),
377857,377948,91,Remain Low,face-front/back,LeftWall(Night),
377948,377954,6,Turn,LeftWall(Night),
377954,377960,6,Turn,face-front/back,LeftWall(Night),
377960,378098,138,Remain Low,LeftWall(Night),
378098,378104,6,Turn,LeftWall(Night),
378104,378116,12,Remain Low,LeftWall(Night),
378116,378122,6,Turn,face-front/back,LeftWall(Night),
378122,378128,6,Remain Low,LeftWall(Night),
