 Experiment number: ,,#202
 Experiment date: ,,November-12-2022
 Animal Strain: ,,
 Animal Birthdate: ,,November-12-2022
 Color of Animal: ,,White
 Size of Animal: ,,Regular
Analysis Length:,,"171:59'16"""
Analysis Start@:,,"167:59'17"""
Dstance Traveled:,,    413.85(meters)

Behavior Profile-Behavior List
From Frame,To Frame,Length(frames),Behavior,Comment,
177052,177068,16,Twitch,LeftWall(Night),
177068,177372,304,Sleep,LeftWall(Night),
177372,177394,22,Twitch,LeftWall(Night),
177394,177594,200,Sleep,LeftWall(Night),
177594,177617,23,Twitch,LeftWall(Night),
177617,177921,304,Sleep,LeftWall(Night),
177921,177974,53,Twitch,LeftWall(Night),
177974,179333,1359,Sleep,LeftWall(Night),
179333,179393,60,Twitch,LeftWall(Night),
179393,179569,176,Sleep,LeftWall(Night),
179569,179582,13,Twitch,LeftWall(Night),
179582,180263,681,Sleep,LeftWall(Night),
180263,180300,37,Awaken,LeftWall(Night),
180300,180309,9,Walk Right,LeftWall(Night),
180309,180379,70,No Data,,
180379,193705,13326,No Data,,
193705,193706,1,Remain Low,Floor(Night),
193706,193844,138,Pause,,
193844,193855,11,Remain Low,,
193855,193861,6,Walk Right,Floor(Night),
193861,193885,24,"(null)(RearUp, RemainRU)",LeftWall(Night),
193885,193940,55,Unknown Behavior,,
193940,195548,1608,Remain RearUp,Ceiling(Night),
195548,195554,6,Walk Right,Ceiling(Night),
195554,195782,228,Remain RearUp,Ceiling(Night),
195782,195788,6,Come Down To Partially Reared,RightWall(Night),
195788,195794,6,Rear up Full From Partial,Ceiling(Night),
195794,195800,6,Walk Right,Ceiling(Night),
195800,196016,216,Remain RearUp,Ceiling(Night),
196016,196020,4,Walk Left,Ceiling(Night),
196020,196029,9,Jump,RightWall(Night),
196029,196099,70,No Data,,
196099,307980,111881,No Data,,
307980,307992,12,"(null)(RUfromPR, RemainRU)",RightWall(Night),
307992,307998,6,Unknown Behavior,Night,
307998,308118,120,Remain RearUp,Ceiling(Night),
308118,308208,90,Unknown Behavior,,
308208,308214,6,Walk Left,RightWall(Night),
308214,308856,642,Remain RearUp,Ceiling(Night),
308856,308862,6,Walk Left,Ceiling(Night),
308862,308873,11,Unknown Behavior,,
308873,308876,3,Remain RearUp,RightWall(Night),
308876,308886,10,Jump,RightWall(Night),
308886,308896,10,Remain RearUp,LeftWall(Night),
308896,308927,31,Stretch Body,RightWall(Night),
308927,309375,448,Groom,HdW,RightWall(Night),
309375,309616,241,Stretch Body,RightWall(Night),
309616,309626,10,Unknown Behavior,,
309626,309794,168,Stretch Body,RightWall(Night),
309794,309829,35,Unknown Behavior,,
309829,309880,51,Stretch Body,RightWall(Night),
309880,309895,15,Remain RearUp,Ceiling(Night),
309895,309901,6,Walk Left,Ceiling(Night),
309901,309904,3,Remain RearUp,Ceiling(Night),
309904,309919,15,Jump,Ceiling(Night),
309919,309955,36,Unknown Behavior,,
309955,309969,14,Repetitive Jumping,LeftWall(Night),
309969,309976,7,Remain RearUp,LeftWall(Night),
309976,310214,238,Unknown Behavior,,
310214,310220,6,Remain RearUp,LeftWall(Night),
310220,310235,15,Unknown Behavior,,
310235,310241,6,Remain RearUp,LeftWall(Night),
310241,310430,189,Unknown Behavior,,
310430,310436,6,Remain RearUp,LeftWall(Night),
310436,310447,11,Unknown Behavior,,
310447,310453,6,Remain RearUp,Ceiling(Night),
310453,310463,10,Unknown Behavior,,
310463,310469,6,Sniff,Ceiling(Night),
310469,310475,6,Walk Right,Ceiling(Night),
310475,310505,30,Sniff,Ceiling(Night),
310505,310511,6,Walk Left,Ceiling(Night),
310511,310625,114,Sniff,Ceiling(Night),
310625,310631,6,Walk Left,Ceiling(Night),
310631,310637,6,Sniff,Ceiling(Night),
310637,310643,6,Walk Right,Ceiling(Night),
310643,310649,6,Walk Left,Ceiling(Night),
310649,310739,90,Sniff,Ceiling(Night),
310739,311315,576,Remain RearUp,Ceiling(Night),
311315,311321,6,Unknown Behavior,Night,
311321,311459,138,Remain RearUp,Ceiling(Night),
311459,311465,6,Walk Left,Ceiling(Night),
311465,312135,670,Remain RearUp,RightWall(Night),
312135,313274,1139,Sleep,Ceiling(Night),
313274,313275,1,Awaken,RightWall(Night),
313275,313305,30,"(null)(RUfromPR, RemainRU)",Ceiling(Night),
313305,313311,6,Walk Right,RightWall(Night),
313311,313317,6,Come Down To Partially Reared,RightWall(Night),
313317,313569,252,Remain Partially Reared,RightWall(Night),
313569,313581,12,"(null)(RUfromPR, RemainRU)",Ceiling(Night),
313581,313590,9,Unknown Behavior,,
313590,315018,1428,Stretch Body,Ceiling(Night),
315018,315022,4,Unknown Behavior,,
315022,315028,6,Remain RearUp,RightWall(Night),
315028,315041,13,Unknown Behavior,,
315041,315047,6,Stretch Body,RightWall(Night),
315047,315056,9,Unknown Behavior,,
315056,315062,6,Walk Right,Ceiling(Night),
315062,315142,80,Unknown Behavior,,
315142,315148,6,Remain RearUp,RightWall(Night),
315148,315154,6,Walk Left,Ceiling(Night),
315154,315163,9,Unknown Behavior,,
315163,315169,6,Sniff,Ceiling(Night),
315169,315269,100,Unknown Behavior,,
315269,315275,6,Remain RearUp,Ceiling(Night),
315275,315342,67,Unknown Behavior,,
315342,315348,6,Remain RearUp,Ceiling(Night),
315348,315380,32,Unknown Behavior,,
315380,315386,6,Remain RearUp,Ceiling(Night),
